,title,date,body,creators,subjects
52,"Cable, Zhou Enlai to Gao Gang, He Jinnian, and Ni Zhiliang",19501004,"Gao [Gang], He [Jinnian]; also inform Ambassador Ni [Zhiliang]:Received the October 2 telegram.  [Regarding] the issue of mobilization of drivers, try to mobilize as many Korean personnel in the Northeast as possible.  The first group should be about 500 people.  The Korean side is in charge of payment after confirmation, except to those who need a family allowance, which can be given by the Northeast according to the circumstances and reimbursed for the actual expenses in the future from the General Logistics Department of the Military Commission.Zhou EnlaiOctober 4 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'Repatriation--Korea (North)', 'Korean War, 1950-1953--China']"
53,Telegram from Zhou Enlai to Ni Zhiliang,19501004,"Ambassador Ni [Zhiliang]:[I] have received the telegrams from [October] 2 and [October] 3.  Based on the current situation, our military officer observation group should not go south of the 38th Parallel.  They should be divided into two groups: one group should examine the situation(s) near Pyongyang and the Pyongyang-Andong [Dandong] line and the Pyongyang-Ji’an line.  The other group should examine the situation(s) along the Pyongyang-Wonsan line and the Wonsan-Cheongjin line and in the northern mountain area.  For the situation(s) between the Pyongyang –Wonsan line and the 38th Parallel, [you] may also examine briefly, if possible, without going deeper.  Three large trucks and one medium sized truck will be allocated by the Northeast.Zhou EnlaiOctober 4 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'Korean War, 1950-1953--China', 'China--Armed Forces']"
54,Telegram from Zhou Enlai to Ni Zhiliang,19501007,Ambassador Ni [Zhiliang]:Have received telegram from the night of [October] 5. The [Party] Central Committee has discussed all questions about North Korea battle operations with Pak Il U. Your office does not need to disclose any opinion to the North Korea side again.Zhou EnlaiOctober 7 [1950],"['Zhou, Enlai, 1898-1976 ']","['China--Military policy', 'Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'Korean War, 1950-1953--China', 'China--Military relations--Korea (North)']"
55,"Cable No. 4785, Filippov [Stalin] and Zhou Enlai to the Soviet Ambassador in Peking",19501011,"Top SecretCable Nº 4784PriorityPeking, to the Soviet Ambassador. Pass immediately to Cde. Mao Zedong.""Your representatives arrived today, and we senior VPK(b) officials and your representatives had an opportunity to discuss the issues of which you are aware. The following became clear from the exchange of opinions:1. The Chinese forces designated for assistance are not ready, are poorly-armed, do not have enough artillery, have no tanks, aircraft cannot be provided for protection before two months, and a minimum of six months is needed to supply and train these troops.2. If direct aid is not given within a month with a considerable quantity of well-armed troops then in view of the precariousness of the Korean units north of the 38th parallel Korea will be occupied by the Americans.3. Accordingly, substantial aid with troops can be provided to the Koreans only after six months, that is after the occupation of Korea by the Americans, that is when it will no longer be needed.In view of the above and considering the unfavorable conditions in the internal situation of China which according to the reports of Cde. Zhou Enlai would follow China's entry into the war, we have unanimously come to the following conclusions:1. In spite of favorable international conditions, in view of their unpreparedness at the present time the Chinese troops should not cross the Korean border in order not to find themselves in an unfavorable position;2. If the troops have already crossed the border they ought not to move further than the mountainous regions along the Chinese border;3. Consider it advisable for Korean units to occupy the mountainous regions north of Pyongyang and Wonsan for defense and to transfer part of the troops to partisan status in the rear of the enemy;4. Withdraw the best of the mobilized Koreans with command personnel to Manchuria quietly and in small groups where Korean divisions are to be formed from them;5. Pyongyang and other important locations south of the mountainous region of North Korea are to be immediately evacuated.As regards the tanks, artillery, and aircraft required by the Chinese comrades to reequip the Chinese army the USSR will begin to supply them in full. We await your decision.""Signed: FilippovZhou Enlai11 October 1950Report when this is done. One copy printed for Cde. Stalin.[...] ","['Stalin, Joseph, 1879-1953', 'Zhou, Enlai, 1898-1976 ']","['Korea (North)--Armed Forces', 'Korean War, 1950-1953--Soviet Union', 'China--Foreign relations--Soviet Union', ""Chinese People's Volunteer Army"", 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union', 'China--Armed Forces', 'China--Military relations--Korea (North)', ""Korean People's Army""]"
56,"Cable, 8th Directorate of the USSR Armed Forces General Staff to Cdes. Shtykov and Vasil'yev
",19501012,"Top Secret8th Directorate of the USSR Armed Forces General StaffCable Nº 75511To Cdes. Shtykov and Vasil'yevRead the following to Kim Il Sung:""Yesterday a meeting of representatives of the VKP(b) CC Politburo and representatives of the Chinese Communist Party CC Zhou Enlai and Lin Biao was held in the USSR on the issue of action by Chinese troops to help Korea. From the report of Zhou Enlai it became clear that the Chinese troops destined for Korea are not ready to act, have no tanks and very little artillery, protection from the air cannot be provided in less than two months, and that more than six months will be required to supply [them] with tanks and artillery considering the training of the troops in armor and artillery matters.In view of such a report by Zhou Enlai the meeting unanimously recognized that China can only provide aid with troops after six months.Since such aid is belated and it can only arrive after the occupation of Korea by American troops the meeting came to the conclusion that given their technical weakness and unpreparedness the Chinese forces cannot have success in Korea at the present time but, on the contrary, will find themselves in a critical position.In view of all the above the meeting of the representatives of the Chinese and Soviet CC's recommend:1. To immediately begin the evacuation of Pyongyang and other very important locations without any sort of panic;2. The Korean people's forces are to make a fighting retreat to the north, delaying the enemy, and not letting him quickly branch out to the north;3. Concentrate part of the troops in the mountainous regions north of Wonsan and Pyongyang, forming a strong defense there, and send the other part into the rear of the enemy in small detachments for partisan warfare [delo];4. Send the mobilized Koreans to form new reserve divisions across the Chinese border to Manchuria in small groups and form divisions from them there (the Chinese comrades have agreed to this);5. Send the transports that arrived with the Soviet weapons which have still not been used by the Korean comrades into the service of the Korean divisions being formed in Manchuria;6. Put all Koreans studying in the USSR into aeronautics and organize air units from them which will get aircraft from the USSR;7. Either send all Soviet advisers to the USSR or use them to form new Korean divisions in Manchuria, as Kim Il Sung sees fit.You are informed that Cde. Mao Zedong agrees with the opinion of the meeting and approves it.Nº 4/8737 Fyn Si12 October 1950Copy Nº 1 - to Cde. Vasilevsky; Copy Nº 2 - to Cde. Stalin; Copy Nº 3 - to the file of the 8th Directorate",[],"['Korean War, 1950-1953--Soviet Union', 'Korean War, 1950-1953--China']"
57,"Ciphered Telegram No. 25553, Roshchin to Filippov [Stalin]",19501012,"[...]Top SecretTo Cde. Filippov.In addition to my Nº 2390.At 2212 I received the following telegram of Mao Zedong addressed to you:""To Cdes. Filippov and Zhou Enlai. I agree with the opinion in the 11 October telegram.Our troops have not yet moved forward and I have already given orders to halt the execution of the plan to cross into Korea.Gao Gang has been charged with explaining to the Korean comrades regarding the fact that the Korean comrades should pursue a new operational regrouping and plan of operation in accordance with the situation.Mao Zedong"".RoshchinNº 239512 October 1950.Two copies printed. Nº 2 to file.[...]","['Roshchin, Nikolai V.']","['Korean War, 1950-1953--Soviet Union', 'China--Foreign relations--Soviet Union', ""Chinese People's Volunteer Army"", 'Korean War, 1950-1953--China', 'China--Armed Forces', 'China--Military relations--Korea (North)', 'Gao, Gang, 1905-1954']"
58,"Ciphered Telegram No. 25612, Roshchin to Flippov [Stalin]",19501013,"[...]Top Secret[Copies] to Cde. Stalin, Cde. Stalin [SIC, a second copy], Cde. Molotov, Cde. Beria, Cde. Mikoyan, Cde. Kaganovich, and Cde. Bulganin.From Peking 13 October 1950Priority.To Filippov [Stalin]At 2100 13 October Mao Zedong called me to him and stated the following:The CPC CC has again discussed the last telegram of Cde. Filippov and my decision. Our senior comrades think that we should help the Koreans. In view of these reasons Cde. Mao Zedong asks that Zhou Enlai be immediately kept in Moscow. He has sent him new instructions for a discussion of the Korean issue with you. I will send the details of the conversation immediately after this telegram.RoshchinNº 240613 October 1950Nine copies printed.Copy Nº 9 - to the 8th Department[...]","['Roshchin, Nikolai V.']","['Korean War, 1950-1953', 'Korean War, 1950-1953--Soviet Union', 'China--Foreign relations--Soviet Union', 'Korean War, 1950-1953--China']"
59,"Ciphered Telegram, Roshchin to Filippov (Stalin)",19501013,"Ciphered Telegram # 25629FROM: BEIJINGReceived in Moscow on 10/14/50 at 01:38 a.m.Deciphered by Yelezov on 10/14/50 at 02:00 a.m.Typed by Rubleva on 10/14/50 at 03:20 a.m. Cabled by VTCH to the South for StalinDistribution list - 9 copies: Stalin - 2, Molotov -1, Malenkov - 1, Beria - 1, Mikoyan - 1, Kaganovich - 1, Bulganin - 1, 8MDGS - 1.PRIORITY TTo FILIPPOV [STALIN]In addition to my No. 2406 (incoming No. 25612), Mao Zedong went on to say:Our leading comrades believe that if the U.S. troops advance up to the border of China, then Korea will become a dark spot for us [the Chinese] and the Northeast will be faced with constant menace.Past hesitations by our comrades occurred because questions about the international situation, questions about the Soviet assistance to us, and questions about air cover were not clear to them. At present, all these questions have been clarified.Mao Zedong pointed out that now it is advantageous for them to dispatch the Chinese troops into Korea. The Chinese have the absolute obligation to send troops to Korea.At this point, they are sending the first echelon composed of nine divisions. Although it is poorly armed, it will be able to fight against the troops of Syngman Rhee. In the meantime, the Chinese comrades will have to prepare the second echelon.The main thing that we need, says Mao Zedong, is air power which shall provide us with air cover. We hope to see its arrival as soon as possible, but not later than in two months.Furthermore, Comrade Mao Zedong noted that at present the government of the People's Republic of China cannot pay in cash for the armaments delivered. They hope to receive arms on credit.Thus, the 1951 budget will not be affected, and it will be easier for them to explain it to the democrats.In conclusion, Mao Zedong stated that the leading comrades in the Central Committee of the Chinese Communist Party believe that the Chinese must come to the assistance of the Korean comrades in their difficult struggle. To discuss this matter, Zhou Enlai will have to meet comrade Filippov again.Zhou Enlai is being sent new instructions.R O S H C H I NNo. 240813.10 [13 October]","['Roshchin, Nikolai V.']","['Communist countries--Internal relations', 'Korea (North)--Armed Forces', 'Korean War, 1950-1953--Soviet Union', 'Korean War, 1950-1953--China', 'China--Armed Forces', 'China--Military relations--Korea (North)']"
60,Ciphered Telegram from Feng Xi (Stalin) to Kim Il Sung (via Shtykov),19501013,"Ciphered Telegram # 75525/4/6759(incoming #3735/shs)(Stalin's hand-written note)PYONGYANGTo SHTYKOV for Comrade Kim Il SungI have just received a telegram from Mao Zedong in which he reports that the CC CPC [Central Committee of the Communist Party of China] discussed the situation [in Korea] again and decided after all to render military assistance to the Korean comrades, regardless of the insufficient armament of the Chinese troops. I am awaiting detailed reports about this matter from Mao Zedong. In connection with this new decision of the Chinese comrades, I ask you to postpone temporarily the implementation of the telegram sent to you yesterday about the evacuation of North Korea and the retreat of the Korean troops to the north.Feng Xi [STALIN]13 Oct 1950[typed:] Sent on 13.X.50","['Stalin, Joseph, 1879-1953']","['Chinese People’s Liberation Army', 'Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'China--Foreign policy', 'Korean War, 1950-1953--China', 'China--Military relations--Korea (North)']"
61,"Ciphered Telegram, Shtykov to Feng Xi (Stalin)",19501014,"Ciphered Telegram # 600428/shFROM: PYONGYANGSent by wire on 10/14/50 at 03:15 a.m.Received in Moscow on 10/14/50 at 6:36 a.m.Arrived at the 8D/GS on 10/14/50 at 7:10 a.m.Deciphered by Morozov on 10/14/50 at 7:45 a.m.Distribution list - 11 copies: Stalin - 2, Molotov-1, Malenkov - 1, Beria - 1, Mikoyan - 1, Kaganovich - 1, Bulganin - 1.FENG XI [STALIN]In accordance with your directive dated 13.10.50 I had a meeting with KIM IL SUNG. PAK HEON-YEONG [Pak Hon Yong] was present at the meeting. I read the text of your telegram to them. The content of the telegram caught KIM IL SUNG and PAK HEON-YEONG by surprise.KIM IL SUNG stated that it was very hard for them [to accept Stalin's recommendation], but since there is such advice they will fulfill it.KIM IL SUNG asked me to read practical recommendations and ordered PAK HEON-YEONG to write them down. He also asked us to help him develop a plan for measures related to this question.S H T Y K O VNo. 1476/sh14 October 1950Typed by Bantsekina on 10/14/50 at 13:30 p.m.","['Shtykov, Terentiĭ Fomich, 1907-1964']","['Korean War, 1950-1953', 'Korea (North)--Foreign relations--Soviet Union']"
62,"Ciphered Telegram, Feng Xi (Stalin) to Kim Il Sung (via Shtykov)",19501014,"CIPHERED TELEGRAM # 4829To PYONGYANG—SOVIET AMBASSADORTransmit to KIM IL SUNG the following message:“After vacillations [kolebaniy] and a series of temporary [provisional] decisions the Chinese comrades at last made a final decision to render assistance to Korea with troops.I am glad that the final and favorable decision for Korea has been made at last.In this connection, you should consider the recommendations of the meeting of the Chinese-Soviet leading comrades, which You were told of earlier, annulled. You will have to resolve concrete questions regarding the entry of the Chinese troops jointly with the Chinese comrades.The armaments required for the Chinese troops will be delivered from the USSR.I wish You success.”Feng Xi [STALIN]14.10.50Typed by Doronchenkova #8865Made 2 copies: Stalin - 1, 8MDGS - 1.","['Stalin, Joseph, 1879-1953']","['Chinese People’s Liberation Army', 'China--Foreign relations--Korea (North)', 'Korea (North)--Foreign economic relations--Soviet Union', 'China--Foreign relations--Soviet Union']"
63,Telegram from Zhou Enlai to Chai Junwu,19501019,"Chai [Junwu] [Chai Chengwen]:[I] have received your telegram from the afternoon of [October] 17.  Concerning the question of the Embassy’s work in the future, the following is the reply:(1)  The focal point of the embassy’s work is still keeping in contact with the North Korean government and following the North Korean government’s actions.  So the main force of the current personnel at Sineuiju should still be moved to Changseong.  If there is not too much to do, one section can be withdrawn.(2)  A group of personnel can remain at Sineuiju solely for the handling of our entry and exit [document] processing.(3)  After General Peng [Dehuai’s] arrival, Peng [Dehuai] and Kim [Il Sung] can set up mutual direct contact.(4)  Chai [Junwu] and Zhu [Guang] should remain at Xichuan and maintain necessary diplomatic contact with Premier Kim.Zhou EnlaiOctober 19 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'Korean War, 1950-1953--China']"
64,Letter from Zhou Enlai to Mao Zedong and Liu Shaoqi,19501029,,"['Zhou, Enlai, 1898-1976 ']","['China--Military policy', 'Korean War, 1950-1953--Soviet Union', 'Soviet Union--Military policy', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union', 'Korean War, 1950-1953--Aerial operations']"
65,Telegram from I.V. Stalin to Mao Zedong,19501029,,"['Stalin, Joseph, 1879-1953']","['Military assistance, Soviet', 'China--Foreign relations--Soviet Union', 'China--Military relations--Soviet Union']"
66,Telegram from Stalin to Shtykov,19501101,"CIPHERED TELEGRAM No. 5222TO SHTYKOVYou request that our officers and advisers remain in the disposition of the [North] Koreans for the formation of Korean divisions. Such a point of view of yours is well known to us. But we do not know the points of view of the [North] Korean government, we do not know whether it wishes to have Soviet officers and advisers in the future or prefers to invite Chinese. You still have not communicated the point of view of the Korean government on this subject. We cannot impose our advisers and officers on the Korean government. Let KIM IL SUNG communicate his point of view regarding this.FYN SI [STALIN]1 November 1950Copies: Stalin (2), 8th Department of the General Staff to Shtykov","['Stalin, Joseph, 1879-1953']","['Korea (North)--Foreign relations--Soviet Union', 'Korea (North)--Military relations--Soviet Union', 'Military assistance, Soviet']"
67,"Ciphered telegram, S.E. Zakharov, Soviet Military Representative in Beijing, to Feng Xi (Stalin)",19501102,"Second Main Administration of the General Staff of the Soviet ArmyCIPHERED TELEGRAM No. 26416Copies: Stalin (2), Molotov, Malenkov, Beria, Mikoyan, Kaganovich, Bulganin, Vasilevsky, Shtemenko, Lomov From Beijing15 hours 30 minutes2.11.1950TOP PRIORITY EFENG XI [Stalin]To No. 5228 of 2.11.50I report: Through Colonel Petrachev, adviser to the Korean air force, I have obtained the following specific information:1. By the first of November a regiment was formed using 26 Korean pilots that have been trained and 24 Yak-9 planes that are located in Andong.2. On November 1 of this year, 8 planes of this regiment went into battle for the first time, in the region of ANJU. As a result of this flight 2 B-29 planes and a Mustang were downed. Two Yak-9's did not return from the battle.The first report from comrade Belov to me about the loss of the two Yak-9 planes in a battle in the region of ANDONG-SINUIJU was thus imprecise.The losses relate to a battle in the region of ANJU.3. In a battle on November 1 of this year, in the region of ANDONG-SINUIJU , two F-82 planes were downed by our pilots in MIG-15's and two planes were downed by anti-aircraft artillery. In all 4 planes [were downed].We had no losses in the air battle.4. MIG-15's of Comrade Belov flew from air bases at MUKDEN [SHENYANG] and ANSHAN. In all, 8 sorties were made from each airport. 5. At present there are 16 battle [as opposed to training] Yak-9's at the air base at ANDONG. In an attack on the Andong airport on 1 November 1950 one Yak-9 was burned and 3 were put out of action, but it is possible to restore them. In addition, 2 planes were lost while patrolling.In all 22 planes and 2 planes did not return from the region of ANJU.In addition to the Yak-9's there are:a) 6 PO-2 planes, which are fully combat ready and are carrying out night missions. There are 14 pilots, and from the 15 PO-2 available, 5 planes crashed during landings and takeoffs at the airfield itself and 4 planes were lost while on missions.b) 25 pilots for IL-10 planes, but up to now there are no planes for them.6. The command of the mixed air division of Koreans in ANDONG has been formed. It is headed by General LI FART.7. Comrade PETRACHEV asks about the possibility of receiving 25 Il-10 planes and 10 PO-2 planes.[S.E.] ZAKHAROVNo. 27022.11.50Report: No. 5228 of 2.11.50 asked Comrade Zakharov about the fact that there are discrepancies between his report and Belov's report about the air battle in the region of Andong. He was ordered to elucidate this discrepancy and report about the participation of Korean planes in battles and about the fact that two of them did not return. ","['Zakharov, M. S. (Matvei Safonovich)']","['Korean War, 1950-1953', 'Korea (North)--Military relations--Soviet Union', 'Korean War, 1950-1953--Soviet Union', 'Korean War, 1950-1953--China']"
68,Telegram from Zhou Enlai to Chai Junwu,19501108,"Chai [Junwu]:[I] have received the November 6 telegram. Please tell Premier Kim [Il Sung]: (1) Concerning the matter of the Chinese People’s Volunteer Army to Resist America, Assist North Korea, Protect Our Home and Defend Our Country (called Chinese People’s Volunteer Army for short, not called the Chinese Volunteer Army), it can be announced to the public.  The wording could take as a model China’s All-Parties Joint Declaration or what was stated in the broadcast on the 7th and in the newspaper.  Several sentences can just be given, briefly.  There is no need to say too much.  (2) Call on the North Korean army and people and the Chinese People’s Volunteer Army to work together closely, learn from each other and also send out a call emphasizing that the North Korean Army and people should persist in unity and persist in the long-term struggle.  Oppose looking at things in a gloomy manner.  (3) The enemy has announced that the Chinese People’s Volunteer Army has entered the war.  So this publicity will not cause other issues internationally.  The enemy is afraid of a long-lasting military operation in Korea, and has not prepared for a protracted war.  So they are passive and apt to panic.Zhou EnlaiNovember 8 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', ""Chinese People's Volunteer Army"", 'Korean War, 1950-1953--China', 'China--Armed Forces', 'China--Military relations--Korea (North)']"
69,"Ciphered telegram, Mao Zedong to Filippov (Stalin)",19501108,"SECOND MAIN ADMINISTRATION OF THE GENERAL STAFF OF THE SOVIET ARMYCIPHERED TELEGRAM No. 26637Copies: Stalin (2), Molotov, Malenkov, Beria,Mikoyan, Kaganovich, Bulganin, Khrushchev, Vasilevsky, ShtemenkoFrom Beijing Received 02 hours 00 minutes8.11.1950TOP PRIORITY TTo Comrade FILIPPOV [Stalin]In view of the fact that the infantry arms of the People's Liberation Army are mainly trophies captured from the enemy, there is a great variety in the calibers of the rifles.Such a situation creates great difficulty for the manufacture of ammunition, and in particular for the production of rifle and machine gun cartridges, especially as our factories can produce only very small quantities of these cartridges.At present the troops of the volunteer army, in the amount of 36 (thirty-six) divisions of the twelve armies, which are taking part in military operations in KOREA, have only (six) battle sets of rifle-machine gun cartridges. In the future, in connection with the development of military operations, we will have a very great need to supply the army with ammunition. If there is no change in military production, then the rearmament can be begun in the second half of 1951.For overcoming the difficulties of the present time I ask you to review the question of the possibility of the delivery of small arms for 36 (thirty-six) divisions in the course of January and February 1951, according to the following list (name, quantity in pieces):1. Soviet rifles 140,000.2. Rifle cartridges 58,000,000.3. Soviet sub-machine guns 26,000.4. Cartridges for sub-machine guns 80,000,000.5. Soviet light machine guns 7,000.6. Cartridges for light machine guns 37,000,000.7. Soviet heavy machine guns 2,000.8. Cartridges for heavy machine guns 20,000,000.9. Pilots' handguns 1,000.10. Cartridges for pilots' handguns 100,000.11. TNT 1,000 tons.I ask you to communicate to me the results of your review of my request.I wish you health.MAO ZEDONGNo. 27847.11.50","['Mao, Zedong, 1893-1976']","['Korean War, 1950-1953--Soviet Union', 'Military assistance, Soviet', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union']"
70,"Telegram from Zhou Enlai to Chai Junwu, Peng Dehuai, and Gao Gang",19501108,"Chai [Junwu] [Chai Chengwen]; also inform Peng [Dehuai] and Gao [Gang]:At this time there is a pause between battles. Chairman Mao [Zedong] advises that Premier Kim [Il Sung] [be asked] whether he can go to Comrade Peng Dehuai’s place around the 10th of this month to meet the two comrades Gao Gang and Peng Dehuai to discuss military operations and supplies in North Korea, the training and arrangement of the North Korea People’s Army and organs after they enter the Northeast, and other questions.  [We] do not know Premier Kim’s thinking on these [questions].  Please ask [him] and inform [me] as soon as possible so that Comrade Gao Gang can be notified to go [there] quickly. Zhou EnlaiNovember 8 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korea (North)--Armed Forces', 'Korean War, 1950-1953', 'Korea (North)--Military policy', 'Korean War, 1950-1953--China', 'China--Armed Forces', 'China--Military relations--Korea (North)', ""Korean People's Army""]"
71,"Cable, Zhou Enlai to Chai Junwu",19501112,"To Chai [Junwu] [Chai Chengwen]; also inform Peng [Dehuai], Gao [Gang]:Your telegrams of the 11th have been received. 1. At the soon-to-be-held meeting of the Central Committee of the Motherland’s United Front, Premier Kim [Il Sung] plans to issue a statement jointly in response to the statement of all of our parties, pointing out the Chinese People’s Volunteer Army’s participation in the war.  The intention is very good.  [We] wish that you will convey to Premier Kim to please change the wording to “the Chinese People’s Volunteer Army’s participation in the war under the command of the general headquarters of the North Korean People’s Army.” 2. Please ask Premier Kim if you can go to Commander-in-Chief Peng’s location with him. If approval is given, (you) may go; otherwise, do not go.Zhou EnlaiNovember 12 [1950]","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953', 'China--Foreign relations--Korea (North)', 'Korean War, 1950-1953--China', 'China--Military relations--Korea (North)']"
72,"Telegram from Shtykov to Ministry of Foreign Affairs, Moscow",19501113,"CIPHERED TELEGRAM No. 600155/III.From Pyongyang Sent 13.9.50 Received 13.9. 13:15Sent to the 8th Department of the General Staff of the Armed Forces 13.9 13:22.By telegraph.Extremely urgent.Moscow--Ministry of Foreign Affairs of the USSR.In connection with the forthcoming session of the [UN] General Assembly, we consider it advisable to recommend to the government of the Korean People's Democratic Republic to send a statement to the General Assembly and the Security Council, in which, on the basis of documents found in the archives of the Rhee Syngmann [South Korean] government, to show how the clique of RHEE SYNGMANN prepared an attack on the north, to set forth once again the position of the government of the Korean People's Democratic Republic on the question of the illegality of the American intervention in Korea, to illuminate the barbaric acts of the American armed forces in Korea and to demand the adoption of measures for the immediate cessation of the American intervention and the withdrawal from Korea of the troops of the foreign interventionists.In addition to this statement [we advise] to send to the General Assembly and the Security Council photocopies of the documents to which reference will be made in the statement of the government of the Korean People's Democratic Republic.In such case as you agree to this proposal, we ask you to communicate when it would be convenient to send such a statement.We would consider it advisable also to inform the government of the Korean People's Democratic Republic about the position which the Soviet delegation in the General Assembly will take on the Korean question.We ask your orders.SHTYKOVNo. 1154/sh.13 September of this yearCopies: Stalin (2), Molotov, Malenkov, Beria, Mikoyan, Kaganovich, Bulganin, Khrushchev, Vyshinsky, File of 8th Department","['Shtykov, Terentiĭ Fomich, 1907-1964']","['Communist countries--Internal relations', 'Korea (North)--Foreign relations--Soviet Union', 'United Nations--Korea']"
73,Telegram from Mao Zedong to Stalin,19501115,"Comrade Filippov [Stalin],Completely agree with the proposal to add 120 M-15 planes to the Belov Air Division, to send them to China in two batches and to prepare to form an Air Force command organization.  Concerning the Andong Airport and the enhancement of air defense deployments, [we] will discuss this with Comrade Zakharov and carry it out.Thanks to the courage and efforts of the Soviet air force men in battle, in the past 12 days 23 invading American planes have been shot down.  This is worth reporting to you and extending our congratulations.Mao ZedongNovember 15, 1950","['Mao, Zedong, 1893-1976']","['China--Military policy', 'Korean War, 1950-1953', 'Korean War, 1950-1953--Soviet Union', 'Soviet Union--Military policy', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union', 'Korean War, 1950-1953--Aerial operations']"
74,"Ciphered telegram, Mao Zedong to Filippov (Stalin) via Zakharov",19501115,"SECOND MAIN ADMINISTRATION OF THE GENERAL STAFF OF THE SOVIET ARMYCIPHERED TELEGRAM No. 26901.Copies: Stalin, Molotov, Malenkov, Beria, Mikoyan, Kaganovich, Bulganin, Khrushchev.From BeijingReceived 06 hours 10 minutes16.11.1950TOP PRIORITYTo Comrade FILIPPOV [Stalin]Comrade FILIPPOV:I fully agree with your proposal to reinforce Belov's aviation force by an additional delivery of MIG-15 planes to China in two lots, numbering 120 (one hundred twenty) pieces and to create a command apparatus for the air corps.As concerns questions regarding the airports in MANCHURIA and the strengthening of all PVO [Anti-Aircraft Defense] measures, we will resolve them together with comrade [S.E.] ZAKHAROV.I express gratitude to the Soviet pilots for the heroism and effort they have displayed in battle, and for the fact that over the last 12 days they downed 23 invading American planes. I think that this is worth reporting to you.I congratulate you on the successes!MAO ZEDONG.Nov 15, 1950.NEW PARAGRAPH.To Comrade FILIPPOV.I report.Your telegram was communicated at 20hours 30 minutes local time 15.11.ZAKHAROVNo. 291016.11","['Mao, Zedong, 1893-1976']","['Korean War, 1950-1953--Soviet Union', 'Military assistance, Soviet', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union']"
75,"Ciphered telegram, Zhou Enlai to Filippov (Stalin)",19501116,"SECOND MAIN ADMINISTRATION OF THE GENERAL STAFF OF THE SOVIET ARMYCIPHERED TELEGRAM No. 26935Copies: Stalin (2), Molotov, Malenkov, Beria,Mikoyan, Kaganovich, Bulganin, KhrushchevFrom BeijingReceived 20 hours 15 minutes16.11.1950EXTREMELY URGENT TTo Comrade FILIPPOV [Stalin]At present the number of our troops operating in Korea has increased from 18 (eighteen) divisions of 6 (six) armies to 30 (thirty) divisions of 9 (nine) armies. Moreover we have another 9 divisions of 3 armies in reserve. In connection with this, transport is faced with very large tasks. With regard to automobiles, we have already received agreement from the Government of the Soviet Union about delivery of 3,000 automobiles before December 15.It is necessary that we urgently resolve the question of gasoline and lubricant. I ask you to confirm the delivery of gasoline and lubricant in the quantity indicated below: 1. New request: 10 thousand tons of gasoline, 2720 barrels (capacity of 53 gallons, the same as below) of lubricating oil for diesel engines, transmission oil 220 barrels, brake oil 110 barrels, yellow oil (Grease) 144 barrels.2. I ask you to ship the following oils on the oil quota agreed upon in the request made by the Ministry of Trade of the Chinese People's Republic to the Ministry of Foreign Trade of the USSR: gasoline 7000 tons, diesel lubricant 2380 barrels, transmission oil 190 barrels, brake oil 95 barrels, yellow oil (Grease) 126 barrels.3. The total quantity of various oils (1 and 2), which we must acquire from the Soviet Union: gasoline 17,000 tons, diesel lubricant 5100 barrels, transmission oil 410 barrels, brake oil 205 barrels, yellow oil (Grease) 270 barrels.I ask you to deliver the first half (50%) of the aforementioned gasoline and oil by the end of December, and the second half (50%) by 20 January 1951.Will this be subject to regulations?We await your answer.With bolshevik greetings.ZHOU ENLAINo. 291714/16.11.50","['Zhou, Enlai, 1898-1976 ']","['Korean War, 1950-1953--Soviet Union', 'Military assistance, Soviet', 'China--Foreign relations--Soviet Union', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union']"
76,Telegram from Mao Zedong to Peng Dehuai,19501117,"Peng [Dehuai] [and] Gao [Gang]:While you were meeting, I sent a telegram to Filippov [Stalin] with the comments on the North Korea situation and suggestions that were stated in [your] Peng’s telegram and my observations on the war situation. Yesterday, [I] received a telegram in reply. [He] completely approves of a single central command led by Chinese comrades, and has informed Kim Il Sung and Shtykov of this by telegram.  Now [I am] passing these two telegrams to you and [we will] see how Kim will respond.  Zakharov has already expressed approval of a single central command.Mao ZedongNovember 17","['Mao, Zedong, 1893-1976']","['China--Military policy', 'Korean War, 1950-1953', 'Korea (North)--Military relations--Soviet Union', 'Korean War, 1950-1953--Soviet Union', 'Soviet Union--Military policy', 'Korea (North)--Military policy', 'Korean War, 1950-1953--China', 'China--Military relations--Soviet Union', 'China--Military relations--Korea (North)']"
